chromosome,start,end,type,strand,expression,optimality,halflife,length
chrI,106272,108551,mRNA,-,11145,0.2037277272727272,6.174962929398021,2279
chrI,110846,113359,mRNA,-,6236,0.20165746031746007,49.97954824347308,2513
chrI,114250,114819,mRNA,+,618,0.2175733113673807,17.335967036612892,569
chrI,118564,119541,mRNA,-,205,0.2314140350877194,13.272099089949347,977
chrI,124307,124492,mRNA,-,448,0.2260352733686067,1.6969333862368057,185
chrI,124879,126786,mRNA,+,5820,0.2006304984423674,169.09644947374244,1907
chrI,128252,129019,mRNA,-,1515,0.19485635906040288,9.843568775343904,767
chrI,130799,131983,mRNA,+,6802,0.1893664930555556,77.8157309099322,1184
chrI,134184,135665,mRNA,-,1270,0.2416112852664576,39.02675406258754,1481
chrI,136914,137510,mRNA,+,1094,0.2333617021276596,15.663393098018748,596
chrI,139503,141431,mRNA,-,28843,0.18584906779661012,74.7661119408548,1928
chrI,143707,147531,mRNA,+,4574,0.19026773788150814,178.55019360009237,3824
chrI,152257,153876,mRNA,+,2995,0.18986895833333334,13.225800910191651,1619
chrI,155005,156285,mRNA,+,2149,0.20033947916666686,6.950229137194613,1280
chrI,158966,159793,mRNA,+,825,0.1862584269662922,23.083341193999853,827
chrI,169375,170295,mRNA,+,2810,0.19638057324840769,20.47688366892896,920
chrI,174998,175330,mRNA,+,173,0.19015639810426527,0.42204840986966907,332
chrI,179281,179820,mRNA,-,441,0.18748772833723654,2.1669630907698867,539
chrI,184892,185596,mRNA,+,952,0.19653671232876715,14.447542121599145,704
chrI,186512,186853,mRNA,-,320,0.19857391304347807,1.383680284336413,341
chrI,188107,188811,mRNA,+,365,0.19170915032679728,13.135544545563391,704
chrI,192337,192417,mRNA,-,23,0.2146910745614035,1.5835448556385512,80
chrI,201467,201787,mRNA,-,203,0.211039603960396,2.1931792618577353,320
chrI,208367,208663,mRNA,+,88,0.19086598612487604,0.5516107929902958,296
chrI,220198,220497,mRNA,+,97,0.20829647244094507,6.583700370343728,299
chrI,225460,226863,mRNA,+,131,0.23209999999999986,11.583966236779663,1403
chrI,228844,229317,mRNA,+,74,0.2288981818181815,1.5957422460757593,473
chrII,646,1128,mRNA,+,163,0.1877506170886077,7.1407617567955715,482
chrII,2907,5009,mRNA,-,1,0.21759128630705388,3.022151800823252,2102
chrII,7605,7733,mRNA,-,3,0.1963930817610066,2.2944198816267143,128
chrII,9268,9372,mRNA,+,8,0.19303676557863486,2.482082389343991,104
chrII,10847,13879,mRNA,-,2815,0.2160911214953272,71.94837223781941,3032
chrII,18177,21293,mRNA,-,3549,0.21081325301204806,157.71602658099965,3116
chrII,28427,28546,mRNA,+,85,0.2285158371040721,2.0904603332083376,119
chrII,37053,38690,mRNA,+,22679,0.19170657754010684,455.95401481109286,1637
chrII,40831,43095,mRNA,+,1995,0.19957486940298505,2.30519757731075,2264
chrII,43277,44089,mRNA,+,1284,0.2236402661596956,19.224628989512233,812
chrII,45645,46370,mRNA,+,48091,0.1837530864197531,146.40045220376842,725
chrII,47363,48628,mRNA,-,5687,0.23057943925233634,84.88621716980093,1265
chrII,49574,50953,mRNA,+,1220,0.19127196652719644,3.4779774232950675,1379
chrII,59822,60739,mRNA,-,17735,0.20296651063829785,112.67746241710663,917
chrII,63876,66818,mRNA,+,4286,0.19567715469613234,59.134137432545664,2942
chrII,69713,70138,mRNA,-,422,0.1811228405122236,7.016509297690835,425
chrII,71866,72972,mRNA,+,992,0.23568484848484844,28.89755194997594,1106
chrII,75259,79767,mRNA,+,12068,0.18920173140954447,406.98813343604957,4508
chrII,80897,81328,mRNA,+,4299,0.1910322208588957,5.737492214513029,431
chrII,89458,89556,mRNA,-,108,0.204392,0.4696232282778777,98
chrII,90223,90531,mRNA,-,549,0.18215325670498064,8.180230145825215,308
chrII,90741,92030,mRNA,+,2479,0.19593251769464087,44.92460885013459,1289
chrII,93639,95882,mRNA,-,3826,0.205849315068493,96.3697479903245,2243
chrII,100371,101156,mRNA,-,4666,0.1934157303370788,52.52136544603005,785
chrII,105308,105688,mRNA,+,933,0.21297360563380294,18.48591740047813,380
chrII,107932,109995,mRNA,+,1887,0.1861331351351348,11.465132170826013,2063
chrII,110594,111244,mRNA,+,603,0.1901464948453608,1.605385653335345,650
chrII,112801,113427,mRNA,-,1742,0.1973404615384616,36.5477479360307,626
chrII,115573,116829,mRNA,-,2216,0.19791797671033504,14.440532263688137,1256
chrII,122753,124759,mRNA,-,3809,0.2021780184331795,44.37827282717771,2006
chrII,127895,132040,mRNA,-,16777,0.20759490084985827,177.47741379904545,4145
chrII,134143,135516,mRNA,-,6539,0.22594897959183674,53.022361769170345,1373
chrII,136688,137461,mRNA,+,763,0.18556862745098032,16.384123668798125,773
chrII,141247,141972,mRNA,+,5780,0.19276649632802906,72.1890420544363,725
chrII,143393,143572,mRNA,+,233,0.20315379679144369,3.948582540610917,179
chrII,144948,145031,mRNA,-,479,0.2401111111111112,3.973511333724785,83
chrII,147209,150286,mRNA,+,3035,0.2101650340136053,76.1581849651538,3077
chrII,151493,153610,mRNA,-,2449,0.1898436585365849,21.392829824413194,2117
chrII,158656,159693,mRNA,-,1557,0.20059740291262107,5.96984254960871,1037
chrII,161699,162715,mRNA,+,870,0.18080796296296286,0.8811075121398861,1016
chrII,164488,164772,mRNA,-,565,0.18040571428571409,3.598646995830571,284
chrII,170623,171038,mRNA,+,1495,0.2070437809187277,3.0809890168876297,415
chrII,172534,174588,mRNA,+,8398,0.20182325342465773,15.111315283186755,2054
chrII,177874,181275,mRNA,-,12719,0.2049433333333336,18.030339517443366,3401
chrII,182401,184125,mRNA,+,2299,0.1947064801444044,1.1035779653551891,1724
chrII,185998,186474,mRNA,-,775,0.2130088339222616,1.0698290467263973,476
chrII,192451,193512,mRNA,+,2412,0.2082194570135744,31.247877842381193,1061
chrII,199064,201748,mRNA,-,3485,0.18359797484276733,32.667174159086514,2684
chrII,203406,203807,mRNA,-,1135,0.23776923076923065,16.1331004532034,401
chrII,206107,206949,mRNA,-,761,0.19940904761904726,24.233642249072147,842
chrII,209409,209648,mRNA,+,97,0.18030300613496936,0.6971562258416242,239
chrII,212632,216366,mRNA,-,17570,0.21000211382113826,339.5775896241398,3734
chrII,216711,216860,mRNA,+,617,0.17739035608308584,11.124272290053389,149
chrII,227636,235117,mRNA,+,20122,0.21972945205479485,15.709016427286855,7481
chrII,236492,236887,mRNA,+,9284,0.18085227576974586,58.32182196951428,395
chrII,242809,244230,mRNA,+,2897,0.2267057291666668,95.12577027148868,1421
chrII,245906,246547,mRNA,+,782,0.18675590551181093,8.451866196273635,641
chrII,248806,251016,mRNA,-,1743,0.2125645723684209,74.03970283056675,2210
chrII,255373,255684,mRNA,-,16817,0.20501055806938154,138.39343330122182,311
chrII,257112,257975,mRNA,-,22116,0.2215841584158416,276.18160616149385,863
chrII,265492,265881,mRNA,-,456,0.2002942105263158,7.368740095171337,389
chrII,267710,269503,mRNA,-,6643,0.2251468531468531,13.092624702217904,1793
chrII,270947,273703,mRNA,-,8233,0.18439821029082784,73.19267053871579,2756
chrII,276253,278352,mRNA,-,1013,0.2217664784946234,21.22289141435563,2099
chrII,281443,283344,mRNA,+,1265,0.231,36.4211308536607,1901
chrII,284428,287925,mRNA,-,8476,0.19266666666666665,16.38715380170516,3497
chrII,290681,291865,mRNA,-,15369,0.1966921020408164,80.33926436996391,1184
chrII,294024,294356,mRNA,-,178,0.17324137931034486,2.8856447906052813,332
chrII,296369,297742,mRNA,-,3192,0.19338461538461546,44.42366466398489,1373
chrII,300166,301254,mRNA,+,16197,0.2028734177215191,95.44287288086957,1088
chrII,301944,304703,mRNA,+,1735,0.2094923234624147,54.76850858656081,2759
chrII,306269,306955,mRNA,-,4176,0.2093070866141732,59.78913252889696,686
chrII,310565,311452,mRNA,-,1125,0.2065834604904632,1.378182787439476,887
chrII,315575,316510,mRNA,+,5584,0.2074689029535864,42.14140707272652,935
chrII,320416,321609,mRNA,-,1913,0.2525333333333333,62.225937625749225,1193
chrII,324341,326059,mRNA,-,1724,0.1928029353233831,39.671074300166076,1718
chrII,330507,331511,mRNA,-,1630,0.1975844930417497,32.4413935778367,1004
chrII,332831,333812,mRNA,+,21344,0.2014593023255814,17.489020881096835,981
chrII,337183,338199,mRNA,-,545,0.20984848484848484,2.274342036210376,1016
chrII,338720,339352,mRNA,-,3836,0.21098341314031213,66.42377121432932,632
chrII,344602,347301,mRNA,-,3422,0.2103381347150257,88.45408028331512,2699
chrII,351255,351455,mRNA,+,132,0.26062500000000005,6.582820661811713,200
chrII,352193,353293,mRNA,-,1643,0.2171326485568764,27.347449628614942,1100
chrII,356324,356566,mRNA,-,1870,0.2240753768844232,40.94502208684787,242
chrII,360652,362514,mRNA,-,2591,0.2257226890756302,7.446550710592533,1862
chrII,365976,366600,mRNA,-,1128,0.20217094017094026,33.40326127926488,624
chrII,367763,368191,mRNA,+,592,0.1907974042553192,10.591760849739714,428
chrII,370037,370699,mRNA,-,934,0.1833465599999994,1.8212811542202623,662
chrII,373861,375690,mRNA,-,9888,0.21760979695431465,194.1889287919434,1829
chrII,382860,383021,mRNA,-,47,0.2265428571428572,6.01422913076703,161
chrII,386286,389216,mRNA,+,6055,0.2373083667180278,9.256317530625687,2930
chrII,391351,391617,mRNA,-,346,0.2318021882951652,2.227397026966483,266
chrII,393123,394742,mRNA,+,24942,0.19154954382826467,375.6421815800315,1619
chrII,398614,400890,mRNA,-,6317,0.1840700714711132,34.454033763777936,2276
chrII,411054,413981,mRNA,+,14016,0.1946767485822309,6.393012814188538,2927
chrII,418907,419164,mRNA,-,2648,0.20246856465005933,23.371077933755302,257
chrII,423765,424829,mRNA,+,2316,0.2115431878557876,12.78634029512445,1064
chrII,426333,427058,mRNA,-,2106,0.2032468165249088,3.2796981286394526,725
chrII,427698,429101,mRNA,-,7263,0.1864347826086956,60.551002807395015,1403
chrII,432036,434297,mRNA,+,2531,0.2289211195928753,25.269407213595436,2261
chrII,436021,436713,mRNA,+,2381,0.21395522388059707,42.7805027153554,692
chrII,443821,444693,mRNA,-,4699,0.1924272300469482,50.49504320781731,872
chrII,447709,449316,mRNA,+,1749,0.19036126556016625,11.706280042944492,1607
chrII,449667,450656,mRNA,+,1223,0.1919065116279067,6.194095744148151,989
chrII,452658,453224,mRNA,+,10097,0.19999209713024232,77.46281997319613,566
chrII,454822,457665,mRNA,+,2043,0.20095666666666645,111.68303639209071,2843
chrII,458608,458832,mRNA,+,168,0.1896204558404558,2.1697556826546687,224
chrII,461178,461873,mRNA,-,3903,0.194293303730018,100.12303384346316,695
chrII,462870,465770,mRNA,-,5650,0.20766722943722932,46.07674091463858,2900
chrII,467248,469620,mRNA,+,3000,0.21282597402597425,11.562304673485222,2372
chrII,474199,474726,mRNA,-,234,0.18779830136986256,11.146189514149704,527
chrII,479338,480323,mRNA,+,1247,0.19046228070175392,2.0046595479217135,985
chrII,482326,482484,mRNA,-,1589,0.2140593952483799,27.51200329759734,158
chrII,484742,486691,mRNA,-,2147,0.1919542079806529,5.909502531633056,1949
chrII,490850,491056,mRNA,+,6725,0.19834782608695656,91.23834897109259,206
chrII,491269,492822,mRNA,-,27767,0.1963882352941176,411.55676289954465,1553
chrII,494353,495339,mRNA,-,1324,0.19515970297029692,44.761721222721356,986
chrII,497163,499277,mRNA,+,1296,0.2074666071428572,31.876408249374208,2114
chrII,499652,501442,mRNA,-,2835,0.2257106193078324,89.46283786640551,1790
chrII,504243,504644,mRNA,+,228,0.1837386240310078,1.1917553183476244,401
chrII,505668,512774,mRNA,+,6463,0.1909694567901233,114.59798207827045,7106
chrII,513762,515336,mRNA,-,1051,0.20301564393939373,24.154773105431325,1574
chrII,517350,526628,mRNA,-,19481,0.20191280166435505,124.1023616296142,9278
chrII,527167,527262,mRNA,+,135,0.19613721951219512,0.8442127271153522,95
chrII,530869,532182,mRNA,-,13373,0.2198917197452229,105.22860947437482,1313
chrII,533762,534817,mRNA,+,797,0.2052601934235978,32.63324653294333,1055
chrII,536575,537465,mRNA,+,321,0.19461643835616413,22.42102656189683,890
chrII,546376,547251,mRNA,+,843,0.22564441416893755,7.676206463838069,875
chrII,548362,549009,mRNA,-,5163,0.19707770270270247,27.361115304759018,647
chrII,551104,553200,mRNA,-,2135,0.20704264392324115,23.366797269515335,2096
chrII,560078,560974,mRNA,+,1618,0.16872234177215198,3.3955699942938793,896
chrII,563203,564570,mRNA,-,15126,0.2025413533834584,126.03668552020116,1367
chrII,568852,569685,mRNA,+,1036,0.18514009937888207,7.534022476403605,833
chrII,571468,571890,mRNA,-,971,0.20804081632653068,12.523594703555656,422
chrII,573915,575996,mRNA,-,5383,0.22992341935483865,113.39680820445724,2081
chrII,578364,578984,mRNA,+,1971,0.19708256880733926,19.615209132604978,620
chrII,581726,582172,mRNA,-,1555,0.2359437666666665,5.711732097417917,446
chrII,582408,583355,mRNA,+,2656,0.21356305785123966,39.352590134034365,947
chrII,584807,586162,mRNA,-,5893,0.22160365853658548,15.988121994832838,1355
chrII,586547,589114,mRNA,-,2818,0.1892065709728871,96.96618866430455,2567
chrII,591712,592774,mRNA,-,26041,0.2458279999999996,164.08249331403886,1062
chrII,597363,598934,mRNA,+,745,0.1849408070175436,19.32172431592791,1571
chrII,600553,602360,mRNA,+,882,0.1975369244135536,5.726296614053469,1807
chrII,605966,606277,mRNA,+,3868,0.21877398004434592,34.60759982748926,311
chrII,607149,607223,mRNA,+,3038,0.22998559375,41.83420707623683,74
chrII,609082,609753,mRNA,-,1023,0.1935167785234896,19.977278921568615,671
chrII,610614,611882,mRNA,-,1351,0.22506124365482214,22.004887172912976,1268
chrII,614024,614173,mRNA,-,66,0.21097826086956525,1.1200028341016566,149
chrII,615203,615856,mRNA,-,1316,0.1863552631578948,10.1795709387171,653
chrII,618909,620303,mRNA,+,5864,0.1944761839863716,48.708290300978064,1394
chrII,622983,623147,mRNA,+,40,0.20851219512195093,3.612149346372935,164
chrII,624493,624696,mRNA,-,138,0.19368016949152533,4.749057929705032,203
chrII,633622,634836,mRNA,+,3919,0.1826502804642164,37.3167488048162,1214
chrII,635146,636543,mRNA,+,2196,0.18449699186991864,45.392017228765084,1397
chrII,642583,642900,mRNA,+,141,0.2109848484848485,5.467423055817304,317
chrII,646158,647132,mRNA,-,1020,0.19533077391304315,6.489718237978829,974
chrII,650368,651192,mRNA,+,365,0.2206825396825395,26.366299237694182,824
chrII,653356,655317,mRNA,+,1910,0.22659719257540595,71.27215148706848,1961
chrII,657832,658392,mRNA,+,597,0.24549438202247176,7.567244266581259,560
chrII,665153,666253,mRNA,-,9836,0.19755938697317985,36.69636259200345,1100
chrII,668721,668840,mRNA,+,97,0.1874744842562431,1.0456929294938042,119
chrII,670627,673329,mRNA,+,2490,0.1951090289608179,0.9812911127083979,2702
chrII,673572,675134,mRNA,-,1798,0.19181393650793668,5.953811755229344,1562
chrII,676357,679221,mRNA,-,6265,0.20353982300884949,13.183418517215493,2864
chrII,680362,680562,mRNA,+,441,0.1872790697674417,10.688335490807354,200
chrII,683428,684669,mRNA,+,1026,0.2102611815561962,3.453150938506413,1241
chrII,685438,686592,mRNA,-,4498,0.1936863636363637,4.451009566059643,1154
chrII,690383,691693,mRNA,-,2354,0.20085610556348094,30.426624278394407,1310
chrII,700490,701842,mRNA,-,444,0.20178260869565207,16.284014724303404,1352
chrII,704670,705386,mRNA,+,1401,0.19210118908382084,35.56026885200544,716
chrII,707528,708016,mRNA,+,1471,0.19206812688821776,25.464795927644637,488
chrII,711591,712754,mRNA,+,1882,0.19923842592592594,12.109046421653815,1163
chrII,714807,716465,mRNA,-,3461,0.1988070202702705,87.04927695601884,1658
chrII,719033,720604,mRNA,+,509,0.19384171149144264,29.526737492885424,1571
chrII,722611,723054,mRNA,+,1903,0.1851397916666668,56.66956115905425,443
chrII,723736,724263,mRNA,-,1157,0.2148283062645012,1.5964016559733851,527
chrII,726618,727074,mRNA,-,462,0.19219942148760327,5.430954157347321,456
chrII,728885,729724,mRNA,+,755,0.2283722641509432,32.36643666674838,839
chrII,730387,732453,mRNA,+,1691,0.21868035175879372,87.82433363828773,2066
chrII,734832,735530,mRNA,-,2280,0.1812888888888888,9.193017691913436,698
chrII,736264,737736,mRNA,+,7882,0.21328000000000005,93.06010816001026,1472
chrII,738582,739544,mRNA,+,2088,0.19287454918032773,19.250227363501175,962
chrII,739936,740388,mRNA,-,831,0.1975714285714286,9.025302419042648,452
chrII,742160,742576,mRNA,-,1241,0.18425387628865986,8.180344959859486,416
chrII,744852,746111,mRNA,+,1456,0.1914166666666666,19.192770104327952,1259
chrII,748061,749371,mRNA,-,2433,0.21385200549450545,19.205313711330703,1310
chrII,751356,757106,mRNA,-,6072,0.20017795275590555,135.12917040345894,5750
chrII,760215,760616,mRNA,-,509,0.1834754098360656,11.040193108870927,401
chrII,761257,762594,mRNA,+,2755,0.20774933212996408,24.004424774461402,1337
chrII,764970,767606,mRNA,-,2864,0.18740825696316205,39.44443288034348,2636
chrII,768943,770415,mRNA,-,7757,0.22968897637795274,59.42198277648686,1472
chrII,773922,774356,mRNA,+,240,0.2154671428571428,10.953156707861769,434
chrII,778012,779463,mRNA,-,2484,0.20090316573556816,10.577392147296703,1451
chrII,782591,783556,mRNA,+,2319,0.2487983870967743,51.69337596490823,965
chrII,784702,785073,mRNA,-,115,0.2120973375097896,2.2594019397322698,371
chrII,796798,798522,mRNA,-,372,0.20522523148148128,12.906247067865479,1724
chrII,802631,804475,mRNA,-,1338,0.2213214778325121,6.909081536300352,1844
chrII,805351,807105,mRNA,+,177,0.20715178571428566,55.191108407095555,1754
chrII,809057,809419,mRNA,+,26,0.19378034632034624,9.169098676726197,362
chrIII,1392,2135,mRNA,+,58,0.2343366533864543,8.872169877134679,743
chrIII,9706,11082,mRNA,+,97,0.2225363636363637,20.080667799623754,1376
chrIII,12386,13018,mRNA,-,1,0.2350454189944132,1.4032516819887304,632
chrIII,13751,14119,mRNA,+,40,0.19563387500000026,5.041394265067293,368
chrIII,17290,18561,mRNA,+,1913,0.1927841626016261,31.65390678538332,1271
chrIII,22429,23379,mRNA,-,2721,0.2421039370078741,30.715447684555393,950
chrIII,23584,23925,mRNA,+,834,0.21337254901960784,1.9901018491564226,341
chrIII,24768,26906,mRNA,+,7716,0.18894587982832603,142.55483303132556,2138
chrIII,27929,28936,mRNA,+,2021,0.1896305185909978,9.637733907388387,1007
chrIII,31449,33974,mRNA,+,4572,0.1982,173.951539125259,2525
chrIII,35865,37616,mRNA,+,2030,0.2009501964636544,19.620119276875723,1751
chrIII,39786,40724,mRNA,-,1539,0.181920634920635,6.779965065061393,938
chrIII,42165,43556,mRNA,+,249,0.2520750000000001,10.279469592936291,1391
chrIII,44623,46905,mRNA,-,7016,0.2362787234042556,149.03182899613012,2282
chrIII,47111,48364,mRNA,-,765,0.22091581560283705,18.946576099374845,1253
chrIII,50133,50627,mRNA,-,1187,0.19307376569037674,11.963811725696543,494
chrIII,50838,52340,mRNA,+,22079,0.19604470707070693,78.84165552500967,1502
chrIII,54941,56527,mRNA,-,1575,0.1930265486725664,35.28641977135252,1586
chrIII,59026,60726,mRNA,+,1747,0.20912344221105536,21.298274640822626,1700
chrIII,61658,62722,mRNA,+,2685,0.2250068072289156,40.74961743198482,1064
chrIII,63441,64481,mRNA,+,1122,0.2481592356687898,41.68698767017277,1040
chrIII,65934,68333,mRNA,-,9631,0.21375399588053512,103.09058875270478,2399
chrIII,70150,71367,mRNA,+,3542,0.21142150617283947,64.66803997759376,1217
chrIII,73405,73986,mRNA,-,199,0.21134998447204995,0.9596855206911776,581
chrIII,76018,77919,mRNA,-,2569,0.1973594771241829,31.062031889640757,1901
chrIII,79162,82275,mRNA,+,3725,0.234857142857143,55.26102784641756,3113
chrIII,83620,83997,mRNA,+,1019,0.21473488372093014,8.64215849576209,377
chrIII,92777,94270,mRNA,-,4473,0.1928513570938996,78.22683954839269,1493
chrIII,96281,101191,mRNA,+,6878,0.21421538461538456,121.71770043251195,4910
chrIII,102075,103358,mRNA,-,6975,0.2138698750000004,19.657515430873474,1283
chrIII,104619,105548,mRNA,-,8252,0.2004308474576271,13.176455830044759,929
chrIII,106974,107366,mRNA,-,2025,0.2252558139534884,41.17591065904122,392
chrIII,108021,108791,mRNA,+,1132,0.1995548073022313,1.8057396377056012,770
chrIII,110808,111675,mRNA,-,1703,0.2036930693069308,47.051261866193556,867
chrIII,115685,115999,mRNA,+,179,0.20421485795454564,6.067880672289427,314
chrIII,118620,119171,mRNA,+,902,0.18376392592592586,2.8504975972135176,551
chrIII,120946,122328,mRNA,-,6774,0.2369941269841269,55.804710996880104,1382
chrIII,126011,126730,mRNA,-,639,0.19404054054054065,8.645503073845735,719
chrIII,130745,131542,mRNA,-,4740,0.18863475177304934,63.15396800953607,797
chrIII,139185,140933,mRNA,-,1743,0.1957155555555553,20.983365051014456,1748
chrIII,143634,144506,mRNA,+,1635,0.19587445887445865,25.866608601205666,872
chrIII,152837,153928,mRNA,+,986,0.2036915079365082,1.7352666789029172,1091
chrIII,154830,155096,mRNA,-,884,0.1839345714285714,1.1988802938773162,266
chrIII,158538,160373,mRNA,-,3054,0.19268002994011926,44.584223069366104,1835
chrIII,162599,162865,mRNA,-,6144,0.2023723504273504,8.733674282270883,266
chrIII,163446,163856,mRNA,-,231,0.21408080808080804,0.8355244064489451,410
chrIII,167370,167999,mRNA,-,816,0.2079146567717996,18.622613735839558,629
chrIII,177500,178220,mRNA,-,37104,0.19624456395348844,82.84088893446742,720
chrIII,186489,190169,mRNA,+,7291,0.24491402714932106,46.18690776770944,3680
chrIII,191834,193018,mRNA,-,2664,0.21988636363636369,72.93210791359186,1184
chrIII,194414,197185,mRNA,-,4845,0.19663288718929256,37.80843898909761,2771
chrIII,199293,199418,mRNA,+,23,0.22208741258741246,1.100944290333076,125
chrIII,200442,200969,mRNA,+,6,0.2141943553629471,1.3876034154751409,527
chrIII,201174,205397,mRNA,-,5486,0.2075253623188402,115.27289760703347,4223
chrIII,206877,207950,mRNA,-,2267,0.19950738578680188,55.326436013389134,1073
chrIII,208751,209101,mRNA,+,366,0.2088692810457516,19.991139992097544,350
chrIII,210718,211545,mRNA,-,950,0.1881569863013698,44.99764027355618,827
chrIII,211871,212317,mRNA,-,988,0.2004817837837836,5.811181204067222,446
chrIII,213464,213772,mRNA,-,540,0.2208754098360657,10.992339347254442,308
chrIII,214994,216445,mRNA,+,3168,0.1838771551724138,20.000233768464845,1451
chrIII,218376,220067,mRNA,-,1552,0.21391566265060227,10.038398929013649,1691
chrIII,223454,224230,mRNA,-,1846,0.18831423287671228,45.34285538089262,776
chrIII,225563,227458,mRNA,+,2948,0.18458695652173904,53.61617643395344,1895
chrIII,228318,228791,mRNA,+,624,0.2360878378378379,9.516922556876816,473
chrIII,233125,236322,mRNA,-,4095,0.1998760531697343,6.818764955128678,3197
chrIII,239055,240011,mRNA,+,2553,0.19190027522935774,18.739264267029174,956
chrIII,240805,242352,mRNA,-,1831,0.2065195140664964,32.53048248875654,1547
chrIII,246963,247910,mRNA,+,2724,0.21334181677018652,5.998189871967911,947
chrIII,248975,249202,mRNA,+,501,0.19599619918699204,19.02838673984238,227
chrIII,250238,252628,mRNA,-,7545,0.2031133333333332,44.02294123412961,2390
chrIII,254371,258654,mRNA,+,3826,0.19782529197080287,79.84732512571892,4283
chrIII,258883,259269,mRNA,+,2164,0.20913508442776726,21.662260771097472,386
chrIII,263392,263964,mRNA,+,694,0.1865912149532712,12.022747804419685,572
chrIII,264006,264467,mRNA,-,934,0.21437145833333354,6.399589683496266,461
chrIII,267434,272263,mRNA,+,3160,0.19990271493212688,139.7927410261433,4829
chrIII,274404,276566,mRNA,+,1779,0.2102844036697248,0.5240541748591525,2162
chrIII,286762,287937,mRNA,+,2242,0.19355816216216198,30.799215009063442,1175
chrIII,289639,289797,mRNA,+,98,0.20072670807453416,1.0314612793289943,158
chrIII,293835,294321,mRNA,+,2015,0.2050715502555369,26.787871945510545,486
chrIII,297049,298605,mRNA,-,477,0.20773696407879505,26.360406007703702,1556
chrIII,301271,302221,mRNA,-,684,0.17784126984126994,3.678933079138174,950
chrIII,304361,305467,mRNA,-,389,0.22871730769230786,41.248103684426525,1106
chrIII,315997,316188,mRNA,-,101,0.1897310237068963,8.955776841698954,191
chrIV,3762,3836,mRNA,+,27,0.21897391304347835,1.438487718557496,74
chrIV,8683,9756,mRNA,-,14,0.20537207436399246,12.312836252545305,1073
chrIV,16204,17226,mRNA,+,129,0.19589109523809528,15.133724665397104,1022
chrIV,18959,19312,mRNA,+,163,0.2046030781499205,1.4739316470370918,353
chrIV,22471,22608,mRNA,-,44,0.20539891696750912,0.9147484977610201,137
chrIV,26403,28775,mRNA,-,2191,0.1926796875,10.161756133774361,2372
chrIV,30657,31829,mRNA,+,3771,0.1896785549132948,24.08782498896835,1172
chrIV,33415,33918,mRNA,-,2238,0.19390866319444452,19.8696476298734,503
chrIV,36797,38173,mRNA,+,1063,0.1947682926829268,15.716793673828397,1376
chrIV,42700,43707,mRNA,+,1020,0.22498275862068973,52.19874384046994,1007
chrIV,51115,52173,mRNA,-,4889,0.20908284023668647,17.461865543617037,1058
chrIV,54397,56346,mRNA,-,3490,0.24270273794002625,11.720900602670984,1949
chrIV,60872,61801,mRNA,-,543,0.17979199999999998,3.7199058778505094,929
chrIV,66493,67446,mRNA,+,512,0.21309756097560967,19.233628523589957,953
chrIV,68997,70319,mRNA,-,942,0.19522707031249992,45.24678529388669,1322
chrIV,78426,79058,mRNA,+,5007,0.1870784217506632,48.58842773414091,632
chrIV,84270,85985,mRNA,+,474,0.2110405199999998,31.629836815594807,1715
